time_serial,password,way1,way1_number,way2,way2_number,way3,way3_number,total_sales,time
20098,4 4 9,8148,1040,10839,346,0,173,"25,888,230",2020/5/27
20097,9 3 5,9422,1040,0,346,31680,173,"25,527,170",2020/5/26
20096,7 1 8,11124,1040,0,346,40734,173,"26,909,786",2020/5/25
20095,4 2 5,12017,1040,0,346,34704,173,"24,962,754",2020/5/24
20094,3 2 8,17743,1040,0,346,58498,173,"26,033,312",2020/5/23
20093,7 3 0,13832,1040,0,346,42191,173,"29,125,398",2020/5/22
20092,6 1 6,10001,1040,7881,346,0,173,"29,279,774",2020/5/21
20091,5 9 9,9082,1040,10217,346,0,173,"28,824,378",2020/5/20
20090,5 5 9,5808,1040,5403,346,0,173,"28,994,304",2020/5/19
20089,0 8 7,7839,1040,0,346,33615,173,"27,397,528",2020/5/18
20088,5 5 1,9876,1040,11559,346,0,173,"25,914,776",2020/5/17
20087,3 4 3,9280,1040,7341,346,0,173,"26,371,742",2020/5/16
20086,9 7 2,9498,1040,0,346,35090,173,"31,140,834",2020/5/15
20085,8 3 5,14244,1040,0,346,57901,173,"29,575,470",2020/5/14
20084,5 6 7,13807,1040,0,346,44269,173,"29,666,754",2020/5/13
20083,0 9 6,4853,1040,0,346,34519,173,"30,366,118",2020/5/12
20082,8 8 9,13657,1040,12178,346,0,173,"29,561,342",2020/5/11
20081,2 6 2,5745,1040,6385,346,0,173,"28,801,676",2020/5/10
20080,3 8 4,7433,1040,0,346,35328,173,"29,320,578",2020/5/9
20079,1 0 3,3870,1040,0,346,36862,173,"31,894,958",2020/5/8
20078,3 5 6,16847,1040,0,346,63602,173,"33,119,394",2020/5/7
20077,2 1 3,6937,1040,0,346,44959,173,"35,598,284",2020/5/6
20076,8 6 4,4569,1040,0,346,49925,173,"36,927,012",2020/5/5
20075,5 8 5,7525,1040,5994,346,0,173,"35,332,702",2020/5/4
20074,2 2 4,4399,1040,4653,346,0,173,"34,407,072",2020/5/3
20073,6 6 9,12424,1040,7107,346,0,173,"34,814,672",2020/5/2
20072,7 9 0,11460,1040,0,346,92735,173,"38,029,842",2020/5/1
20071,3 8 4,7465,1040,0,346,48171,173,"38,727,622",2020/4/30
20070,8 0 4,6232,1040,0,346,47067,173,"38,614,622",2020/4/29
20069,7 8 8,7252,1040,5284,346,0,173,"40,628,732",2020/4/28
20068,4 1 0,6704,1040,0,346,56883,173,"42,382,708",2020/4/27
20067,4 7 7,7258,1040,6742,346,0,173,"40,650,484",2020/4/26
20066,2 6 2,5421,1040,6361,346,0,173,"37,961,550",2020/4/25
20065,1 9 9,25219,1040,13070,346,0,173,"40,748,368",2020/4/24
20064,3 5 2,5517,1040,0,346,89035,173,"39,724,604",2020/4/23
20063,5 3 1,8293,1040,0,346,43095,173,"37,786,888",2020/4/22
20062,3 1 8,10331,1040,0,346,74241,173,"38,122,818",2020/4/21
20061,1 5 2,6987,1040,0,346,89433,173,"39,095,006",2020/4/20
20060,4 9 0,5193,1040,0,346,31808,173,"37,861,000",2020/4/19
20059,0 1 9,7608,1040,0,346,70503,173,"38,748,230",2020/4/18
20058,2 2 8,29099,1040,9017,346,0,173,"43,575,258",2020/4/17
20057,0 5 7,6434,1040,0,346,52892,173,"42,961,036",2020/4/16
20056,5 7 8,10128,1040,0,346,95947,173,"44,869,194",2020/4/15
20055,6 5 9,10522,1040,0,346,183799,173,"49,707,130",2020/4/14
20054,0 8 7,4382,1040,0,346,60325,173,"49,100,812",2020/4/13
20053,5 8 8,5697,1040,9463,346,0,173,"45,547,848",2020/4/12
20052,2 2 3,5049,1040,20439,346,0,173,"44,736,900",2020/4/11
20051,7 5 3,5083,1040,0,346,79241,173,"45,226,920",2020/4/10
20050,5 9 3,21908,1040,0,346,88039,173,"44,579,772",2020/4/9
20049,7 1 0,5150,1040,0,346,68395,173,"44,025,428",2020/4/8
20048,8 5 4,3845,1040,0,346,109047,173,"44,420,956",2020/4/7
20047,8 0 9,7170,1040,0,346,61208,173,"42,525,834",2020/4/6
20046,3 2 4,6533,1040,0,346,108672,173,"40,917,782",2020/4/5
20045,0 3 1,11487,1040,0,346,115550,173,"42,813,984",2020/4/4
20044,1 2 0,3056,1040,0,346,51778,173,"41,965,472",2020/4/3
20043,0 7 0,3384,1040,19371,346,0,173,"40,655,354",2020/4/2
20042,2 7 4,18304,1040,0,346,82570,173,"36,782,894",2020/4/1
20041,7 0 5,3427,1040,0,346,55735,173,"33,805,376",2020/3/31
20040,3 8 9,5892,1040,0,346,68699,173,"28,575,976",2020/3/30
20039,8 4 6,21228,1040,0,346,95221,173,"25,681,474",2020/3/29
20038,7 3 9,3829,1040,0,346,34939,173,"23,232,218",2020/3/28
20037,1 2 0,10434,1040,0,346,54113,173,"24,069,796",2020/3/27
20036,3 0 1,3095,1040,0,346,23542,173,"22,108,228",2020/3/26
20035,3 2 8,11710,1040,0,346,58928,173,"20,911,910",2020/3/25
20034,4 7 3,7928,1040,0,346,33014,173,"20,439,094",2020/3/24
20033,7 6 7,4082,1040,5751,346,0,173,"18,688,422",2020/3/23
20032,6 8 8,8042,1040,15345,346,0,173,"18,233,464",2020/3/22
20031,9 3 7,4924,1040,0,346,13172,173,"16,793,222",2020/3/21
20030,7 1 9,2982,1040,0,346,11865,173,"15,994,372",2020/3/20
20029,3 9 5,2311,1040,0,346,11372,173,"14,344,386",2020/3/19
20028,5 1 3,8997,1040,0,346,15585,173,"12,676,210",2020/3/18
20027,2 3 9,5124,1040,0,346,13726,173,"11,181,716",2020/3/17
20026,7 0 5,7319,1040,0,346,10337,173,"10,267,446",2020/3/16
20025,4 2 4,1877,1040,4666,346,0,173,"8,366,506",2020/3/15
20024,6 1 4,1873,1040,0,346,4697,173,"7,383,490",2020/3/14
20023,0 6 1,824,1040,0,346,2225,173,"7,654,750",2020/3/13
20022,6 3 4,3040,1040,0,346,4322,173,"7,277,076",2020/3/12
20021,9 6 4,2872,1040,0,346,11330,173,"18,913,022",2020/1/21
20020,1 6 6,16112,1040,14622,346,0,173,"20,657,630",2020/1/20
20019,9 7 3,10492,1040,0,346,21614,173,"19,416,586",2020/1/19
20018,5 8 5,9697,1040,10018,346,0,173,"18,719,186",2020/1/18
20017,7 2 8,5444,1040,0,346,13236,173,"19,756,658",2020/1/17
20016,4 0 2,6935,1040,0,346,10657,173,"18,675,406",2020/1/16
20015,3 2 2,3975,1040,5569,346,0,173,"18,762,196",2020/1/15
20014,1 6 1,3914,1040,5205,346,0,173,"19,087,040",2020/1/14
20013,0 8 1,3671,1040,0,346,10287,173,"18,718,216",2020/1/13
20012,3 1 3,4506,1040,4120,346,0,173,"17,924,002",2020/1/12
20011,4 5 9,3007,1040,0,346,9171,173,"17,105,806",2020/1/11
20010,0 1 1,4934,1040,7432,346,0,173,"19,275,336",2020/1/10
20009,2 0 8,3072,1040,0,346,6923,173,"18,898,278",2020/1/9
20008,1 8 8,5030,1040,7568,346,0,173,"18,966,152",2020/1/8
20007,3 0 9,4668,1040,0,346,9672,173,"19,147,582",2020/1/7
20006,0 8 3,3474,1040,0,346,13644,173,"19,204,182",2020/1/6
20005,5 6 9,14317,1040,0,346,13982,173,"18,156,090",2020/1/5
20004,4 9 8,5654,1040,0,346,11601,173,"18,240,498",2020/1/4
20003,8 9 3,8523,1040,0,346,15040,173,"19,530,732",2020/1/3
20002,1 6 1,6345,1040,6273,346,0,173,"18,315,508",2020/1/2
20001,2 0 2,14503,1040,9251,346,0,173,"17,917,692",2020/1/1
19351,9 7 7,6223,1040,6232,346,0,173,"18,543,402",2019/12/31
19350,8 1 8,5495,1040,6312,346,0,173,"18,326,396",2019/12/30
19349,3 3 8,6518,1040,6413,346,0,173,"17,554,568",2019/12/29
19348,0 5 5,7908,1040,9154,346,0,173,"18,195,724",2019/12/28
19347,5 4 9,3418,1040,0,346,14667,173,"19,829,084",2019/12/27
19346,5 8 9,7270,1040,0,346,14797,173,"18,874,018",2019/12/26
19345,8 7 4,6942,1040,0,346,13211,173,"18,245,164",2019/12/25
19344,0 8 7,4971,1040,0,346,9605,173,"18,211,684",2019/12/24
19343,9 5 2,5669,1040,0,346,18722,173,"17,813,810",2019/12/23
19342,1 7 8,5837,1040,0,346,12263,173,"16,727,440",2019/12/22
19341,0 3 0,3599,1040,2942,346,0,173,"19,195,064",2019/12/21
19340,3 8 3,4508,1040,9531,346,0,173,"20,020,678",2019/12/20
19339,9 0 1,7251,1040,0,346,10606,173,"19,774,346",2019/12/19
19338,5 4 7,5194,1040,0,346,13184,173,"18,899,658",2019/12/18
19337,4 0 7,6576,1040,0,346,9873,173,"18,858,212",2019/12/17
19336,2 3 4,6424,1040,0,346,11466,173,"18,345,786",2019/12/16
19335,3 6 9,12741,1040,0,346,14747,173,"18,029,940",2019/12/15
19334,9 7 2,5712,1040,0,346,17409,173,"17,242,836",2019/12/14
19333,3 8 3,9131,1040,11618,346,0,173,"18,735,376",2019/12/13
19332,2 5 4,4643,1040,0,346,12327,173,"17,996,800",2019/12/12
19331,8 6 0,5579,1040,0,346,13918,173,"17,799,254",2019/12/11
19330,3 9 7,6920,1040,0,346,10573,173,"16,954,258",2019/12/10
19329,4 1 2,3983,1040,0,346,9463,173,"17,268,566",2019/12/9
19328,5 9 6,6610,1040,0,346,13787,173,"16,425,660",2019/12/8
19327,7 7 0,4821,1040,5458,346,0,173,"16,485,720",2019/12/7
19326,2 0 9,5117,1040,0,346,7936,173,"18,342,036",2019/12/6
19325,7 4 4,10102,1040,8549,346,0,173,"16,951,220",2019/12/5
19324,3 7 3,4663,1040,5039,346,0,173,"16,694,402",2019/12/4
19323,8 3 0,5720,1040,0,346,12816,173,"16,849,720",2019/12/3
19322,9 7 2,6257,1040,0,346,12528,173,"16,732,010",2019/12/2
19321,5 9 3,3698,1040,0,346,9020,173,"15,942,736",2019/12/1
19320,7 8 7,5541,1040,6193,346,0,173,"16,163,518",2019/11/30
19319,3 3 1,5466,1040,6400,346,0,173,"17,465,126",2019/11/29
19318,3 1 9,5433,1040,0,346,8632,173,"16,292,180",2019/11/28
19317,4 2 3,3117,1040,0,346,10464,173,"16,124,588",2019/11/27
19316,4 8 1,3025,1040,0,346,9198,173,"15,947,480",2019/11/26
19315,4 5 1,14509,1040,0,346,19481,173,"16,278,790",2019/11/25
19314,2 0 0,3239,1040,3410,346,0,173,"17,121,178",2019/11/24
19313,2 4 1,5435,1040,0,346,8686,173,"16,929,588",2019/11/23
19312,5 7 6,4518,1040,0,346,8449,173,"17,805,726",2019/11/22
19311,1 1 4,6489,1040,8867,346,0,173,"18,136,986",2019/11/21
19310,7 5 4,4525,1040,0,346,12285,173,"18,156,070",2019/11/20
19309,3 5 4,5960,1040,0,346,12135,173,"17,393,620",2019/11/19
19308,6 7 5,6261,1040,0,346,13836,173,"16,935,792",2019/11/18
19307,0 2 7,3292,1040,0,346,8016,173,"16,822,740",2019/11/17
19306,6 4 7,5371,1040,0,346,13947,173,"16,703,692",2019/11/16
19305,4 8 2,7254,1040,0,346,15403,173,"17,662,728",2019/11/15
19304,6 6 3,11263,1040,6679,346,0,173,"17,759,844",2019/11/14
19303,6 6 9,4124,1040,4600,346,0,173,"18,055,164",2019/11/13
19302,7 4 4,6529,1040,5962,346,0,173,"18,100,448",2019/11/12
19301,3 7 9,5214,1040,0,346,9336,173,"17,615,280",2019/11/11
19300,5 3 7,4918,1040,0,346,16101,173,"16,641,468",2019/11/10
19299,5 7 8,4888,1040,0,346,10038,173,"15,880,652",2019/11/9
19298,5 5 5,66164,1040,0,346,0,173,"18,927,374",2019/11/8
19297,5 2 5,8035,1040,5944,346,0,173,"18,140,420",2019/11/7
19296,8 7 0,4277,1040,0,346,9109,173,"17,598,414",2019/11/6
19295,3 3 5,5984,1040,6522,346,0,173,"17,578,830",2019/11/5
19294,7 5 8,8660,1040,0,346,14265,173,"17,228,562",2019/11/4
19293,5 9 9,5241,1040,5542,346,0,173,"16,660,712",2019/11/3
19292,4 8 6,3187,1040,0,346,13312,173,"16,733,070",2019/11/2
19291,6 7 6,9518,1040,11863,346,0,173,"18,621,108",2019/11/1
19290,4 8 5,4002,1040,0,346,13641,173,"17,499,038",2019/10/31
19289,2 4 9,3781,1040,0,346,14326,173,"17,473,756",2019/10/30
19288,7 8 9,6934,1040,0,346,12977,173,"17,349,152",2019/10/29
19287,3 3 7,5679,1040,6316,346,0,173,"17,329,716",2019/10/28
19286,7 7 4,6044,1040,5089,346,0,173,"17,506,210",2019/10/27
19285,0 7 1,3448,1040,0,346,8412,173,"17,504,082",2019/10/26
19284,9 9 2,3802,1040,4766,346,0,173,"18,347,898",2019/10/25
19283,0 4 9,5553,1040,0,346,10026,173,"17,289,792",2019/10/24
19282,6 2 6,6806,1040,4809,346,0,173,"16,979,734",2019/10/23
19281,0 0 5,2512,1040,3365,346,0,173,"17,150,922",2019/10/22
