date,amount,result
20111229,"22,949,112",4 7 0
20111230,"24,052,352",2 3 9
20111231,"22,406,996",7 2 5
20120101,"20,575,458",0 0 3
20120102,"20,183,104",4 0 9
20120103,"21,590,590",1 8 1
20120104,"21,613,038",9 8 9
20120105,"20,440,620",6 0 9
20120106,"22,262,784",3 6 4
20120107,"21,783,886",6 8 2
20120108,"21,917,452",8 2 4
20120109,"22,833,346",3 1 6
20120110,"22,573,614",0 3 9
20120111,"22,375,064",9 1 4
20120112,"23,075,190",4 1 3
20120113,"23,360,794",3 4 9
20120114,"22,435,054",0 8 5
20120115,"22,495,566",2 3 4
20120116,"22,177,604",7 6 5
20120117,"21,990,496",5 1 5
20120118,"20,267,362",4 6 5
20120119,"20,227,980",8 5 5
20120120,"19,314,304",0 1 9
20120121,"16,558,732",1 3 8
20120129,"14,773,650",6 4 4
20120130,"16,248,352",7 4 1
20120131,"17,201,646",3 3 4
20120201,"17,972,728",9 9 7
20120202,"17,964,654",8 3 3
20120203,"19,371,150",0 0 6
20120204,"18,106,710",6 8 9
20120205,"18,354,982",7 7 9
20120206,"18,012,026",6 6 5
20120207,"18,227,244",9 8 8
20120208,"19,286,122",5 0 3
20120209,"19,874,626",1 2 7
20120210,"21,013,184",7 4 1
20120211,"20,173,848",2 7 4
20120212,"19,850,566",0 3 4
20120213,"21,161,342",4 4 3
20120214,"20,648,210",5 2 8
20120215,"21,861,916",8 5 5
20120216,"21,853,624",8 1 8
20120217,"21,737,490",3 4 1
20120218,"20,980,970",8 4 1
20120219,"20,765,188",3 5 2
20120220,"21,563,390",6 8 3
20120221,"22,162,134",4 2 1
20120222,"22,522,002",3 7 3
20120223,"22,151,362",4 9 6
20120224,"22,421,880",8 3 3
20120225,"21,644,282",0 4 4
20120226,"21,379,640",7 7 8
20120227,"21,505,054",4 6 7
20120228,"22,618,246",8 4 1
20120229,"23,502,982",5 3 5
20120301,"23,704,534",0 5 7
20120302,"23,169,000",0 6 6
20120303,"20,849,428",1 4 3
20120304,"21,986,118",6 9 1
20120305,"23,038,032",2 5 9
20120306,"22,859,822",3 4 6
20120307,"23,253,142",4 2 4
20120308,"23,313,148",7 1 3
20120309,"24,341,976",3 5 0
20120310,"22,028,590",7 7 3
20120311,"21,536,484",8 3 1
20120312,"22,558,384",3 6 3
20120313,"23,018,750",0 8 4
20120314,"23,685,992",4 2 2
20120315,"23,815,578",9 2 5
20120316,"24,721,838",7 2 1
20120317,"23,001,664",3 0 0
20120318,"21,883,652",6 1 3
20120319,"23,434,288",9 9 8
20120320,"22,589,300",4 6 4
20120321,"23,475,174",2 7 6
20120322,"23,219,944",9 8 9
20120323,"22,673,492",0 7 8
20120324,"21,601,806",4 1 2
20120325,"22,672,848",6 6 0
20120326,"22,808,432",0 1 0
20120327,"21,597,328",7 7 2
