date,amount,result
2014 年01 月14 日,-1,5 3 5
2014 年01 月15 日,"17,874,118",1 7 5
2014 年01 月16 日,-1,9 8 2
2014 年01 月17 日,-1,0 7 1
2014 年01 月18 日,-1,0 2 1
2014 年01 月19 日,"16,081,632",4 3 0
2014 年01 月20 日,-1,1 8 2
2014 年01 月21 日,-1,3 5 4
2014 年01 月22 日,-1,6 0 3
2014 年01 月23 日,"17,969,528",6 4 9
2014 年01 月24 日,-1,2 2 4
2014 年01 月25 日,-1,2 0 7
2014 年01 月26 日,"16,393,418",1 0 7
2014 年01 月27 日,"16,328,224",7 2 7
2014 年01 月28 日,"15,705,126",4 4 0
2014 年01 月29 日,"14,800,502",6 0 5
2014 年02 月07 日,-1,4 0 5
2014 年02 月08 日,-1,8 9 1
2014 年02 月09 日,"13,418,102",2 6 6
2014 年02 月10 日,-1,9 4 9
2014 年02 月11 日,-1,5 1 8
2014 年02 月12 日,"15,877,116",4 6 7
2014 年02 月13 日,"16,211,458",1 0 4
2014 年02 月14 日,-1,1 8 5
2014 年02 月15 日,-1,2 9 1
2014 年02 月16 日,-1,9 2 2
2014 年02 月17 日,-1,9 0 1
2014 年02 月18 日,-1,7 2 5
2014 年02 月19 日,"16,830,082",3 6 3
2014 年02 月20 日,-1,5 0 1
2014 年02 月21 日,"16,890,128",3 5 4
2014 年02 月22 日,"16,501,254",7 4 7
2014 年02 月23 日,-1,5 8 4
2014 年02 月24 日,-1,8 9 8
2014 年02 月25 日,-1,8 6 1
2014 年02 月26 日,"17,094,156",9 0 8
2014 年02 月27 日,"16,710,506",4 2 4
2014 年02 月28 日,"17,023,720",5 3 6
2014 年03 月01 日,"16,292,102",0 3 2
2014 年03 月02 日,-1,8 1 2
2014 年03 月03 日,-1,7 2 5
2014 年03 月04 日,"17,205,334",8 0 7
2014 年03 月05 日,"17,803,534",6 7 8
2014 年03 月06 日,-1,5 0 1
2014 年03 月07 日,-1,3 2 2
2014 年03 月08 日,-1,4 2 9
2014 年03 月09 日,-1,9 3 2
2014 年03 月10 日,"17,598,962",2 2 5
2014 年03 月11 日,"17,591,040",3 8 2
2014 年03 月12 日,-1,4 7 8
2014 年03 月13 日,-1,2 1 8
2014 年03 月14 日,-1,2 9 0
2014 年03 月15 日,-1,0 0 3
2014 年03 月16 日,-1,3 1 8
2014 年03 月17 日,-1,1 0 2
2014 年03 月18 日,-1,0 6 4
2014 年03 月19 日,-1,1 1 9
2014 年03 月20 日,-1,2 9 2
2014 年03 月21 日,-1,4 8 8
2014 年03 月22 日,-1,0 4 2
2014 年03 月23 日,-1,5 0 0
2014 年03 月24 日,-1,4 1 4
2014 年03 月25 日,-1,3 8 2
2014 年03 月26 日,"17,411,122",7 4 7
2014 年03 月27 日,"17,068,612",4 6 7
2014 年03 月28 日,"17,277,276",7 9 4
2014 年03 月29 日,-1,5 8 7
2014 年03 月30 日,-1,2 0 6
2014 年03 月31 日,-1,3 2 4
2014 年04 月01 日,-1,0 9 3
2014 年04 月02 日,-1,9 8 7
2014 年04 月03 日,-1,2 4 3
2014 年04 月04 日,-1,7 9 5
2014 年04 月05 日,"15,822,814",8 4 4
2014 年04 月06 日,-1,5 7 1
2014 年04 月07 日,"16,167,458",6 6 0
2014 年04 月08 日,-1,8 3 8
2014 年04 月09 日,-1,4 9 6
2014 年04 月10 日,-1,5 0 8
2014 年04 月11 日,-1,1 9 6
2014 年04 月12 日,"16,253,340",1 8 9
2014 年04 月13 日,-1,7 7 5
2014 年04 月14 日,-1,2 1 6
2014 年04 月15 日,-1,7 7 4
2014 年04 月16 日,-1,1 3 9
2014 年04 月17 日,-1,4 6 4
2014 年04 月18 日,-1,2 6 9
2014 年04 月19 日,-1,1 0 9
2014 年04 月20 日,-1,7 5 0
2014 年04 月21 日,-1,8 3 2
2014 年04 月22 日,-1,5 7 6
2014 年04 月23 日,-1,4 9 0
2014 年04 月24 日,-1,0 8 2
2014 年04 月25 日,-1,6 3 9
2014 年04 月26 日,-1,1 6 8
2014 年04 月27 日,-1,6 5 2
2014 年04 月28 日,-1,4 7 5
2014 年04 月29 日,-1,9 0 5
2014 年04 月30 日,-1,0 1 3
2014 年05 月01 日,-1,7 5 8
2014 年05 月02 日,-1,2 1 4
2014 年05 月03 日,-1,1 6 5
2014 年05 月04 日,-1,9 0 6
2014 年05 月05 日,-1,8 9 5
2014 年05 月06 日,-1,1 9 4
2014 年05 月07 日,"17,871,338",9 0 4
2014 年05 月08 日,"18,741,726",2 4 4
2014 年05 月09 日,"16,812,730",5 8 0
2014 年05 月10 日,"16,042,664",2 0 3
2014 年05 月11 日,"15,803,312",8 3 1
2014 年05 月12 日,"17,095,326",3 9 5
2014 年05 月13 日,"16,935,032",1 4 7
2014 年05 月14 日,"17,471,280",8 4 8
